mapId,pathwayId,resourceName,sequenceId,pathwayLod,groupId
6194fae812553d04fa3e6d7c,M301,CnidariaYT.mp4,0,1,1
6194fae812553d04fa3e6d7c,M301,MoonJellyYT.mp4,1,1,1
6194fae812553d04fa3e6d7c,M301,AnemoneYT.mp4,2,1,1
6194fae812553d04fa3e6d7c,M302,BlueWhale1.mp4,3,1,1
6194fae812553d04fa3e6d7c,M302,WhalesFacts2.mp4,4,1,1
6194fae812553d04fa3e6d7c,M302,Vaquita0103.mp4,5,1,1
6194fae812553d04fa3e6d7c,M302,FishvsWhales.mp4,6,1,2
6194fae812553d04fa3e6d7c,M302,SpermWhale4.mp4,7,1,2
6194fae812553d04fa3e6d7c,M302,Dolphins5.mp4,8,1,2



